Date,Prev Close,Open,High,Low,Last,Close,Turnover
20060421,312.2,313.1,314.95,307,310,310.05,3.18832E+11
20060424,310.05,296,315,286,315,311.95,3.02414E+11
20060425,311.95,307,320,307,308,309.25,2.93312E+11
20060426,309.25,301,316,300.3,310.05,311.3,2.89648E+11
20060427,311.3,310,316.9,305,310,307.65,1.35427E+11
20060428,307.65,281.2,305,281.2,298,299.1,2.02582E+11
20060429,299.1,319.7,321,303.2,314,311.9,2.36031E+11
20060502,311.9,312.85,323,312,316,316.2,4.82976E+11
20060503,316.2,317,320,311.65,317.1,319.35,3.83333E+11
20060504,319.35,305,317.5,305,316,314.95,2.46161E+11
20060505,314.95,308.15,320.5,308.15,319.85,318.95,2.77858E+11
20060508,318.95,312.2,325.5,312.2,320.85,322.1,3.13746E+11
20060509,322.1,320,329.95,318,325.8,325.4,5.0901E+11
20060510,325.4,324.4,375,311.3,351,352.2,1.23655E+12
20060511,352.2,350,352.5,336.1,350.9,346.65,4.26185E+11
20060512,346.65,325,348,325,337,338.6,1.74947E+11
20060515,338.6,338.6,340,305.1,307.5,307.35,2.89848E+11
20060516,307.35,318.7,318.7,300,307.5,306.85,2.11344E+11
20060517,306.85,317.5,324.95,312.1,317.95,317.45,1.2001E+11
20060518,317.45,300.25,311,279.4,302,297.85,7.56716E+11
20060519,297.85,298.05,307,286.4,295.5,295,1.62596E+11
20060522,295,288,302,250,290,292.3,4.78182E+11
20060523,292.3,290,294,277,290,291.75,1.13377E+11
20060524,291.75,284.55,299,284.55,291.5,292.2,1.18663E+11
20060525,292.2,289,295,263.1,295,293.75,1.62887E+11
20060526,293.75,315,347.7,295,295,296.65,1.66342E+11
20060529,296.65,296.6,305,290,298,295.25,1.16619E+11
20060530,295.25,298.8,310,295,310,305.1,1.53453E+11
20060531,305.1,244.7,299.7,244.7,296,296.1,3.6992E+11
20060601,296.1,295.8,305,276,278,280.15,1.28644E+12
20060602,280.15,262.1,296.8,261.2,291.95,283.8,2.07547E+11
20060605,283.8,280,295.5,280,295,290.7,2.76216E+11
20060606,290.7,271.6,281.95,271.6,280,279.35,79179110000
20060607,279.35,262,276.6,261.15,275.1,275.15,3.45011E+11
20060608,275.15,257,263.5,220.15,226.2,226.45,1.92642E+11
20060609,226.45,234.6,250,229.1,246.4,241.9,1.12066E+11
20060612,241.9,235,250,226.15,238,236.1,1.18703E+11
20060613,236.1,226.5,235,225,230,228.75,39462920000
20060614,228.75,215.15,235,211,211.5,212.25,90274125000
20060615,212.25,216,228,200.05,215,217.5,1.43585E+11
20060616,217.5,220,234.9,220,229,228.95,1.32946E+11
20060619,228.95,225,238,225,236,237.1,37691090000
20060620,237.1,225.25,234.8,225,231.25,231.25,36360940000
20060621,231.25,230,238,230,238,237.1,1.28871E+11
20060622,237.1,244.95,244.95,235,239,238,1.08215E+11
20060623,238,236,240,231,237.5,234.55,1.09448E+11
20060625,234.55,234.9,235,228.1,228.1,229.9,18832925000
20060626,229.9,227.3,234.95,225,233.7,228.65,1.16397E+11
20060627,228.65,225,231.3,222.65,229,229.7,64676960000
20060628,229.7,230.75,231.3,226.05,231.3,228.35,9435810000
20060629,228.35,234.5,234.85,227,232,230,31048840000
20060630,230,235.8,240,233.3,240,238.5,72917940000
20060703,238.5,238.1,242.4,230.5,230.5,233.35,15459725000
20060704,233.35,233,248,225.25,248,241.9,79120580000
20060705,241.9,244.9,245,234.9,243.7,242.2,65312420000
20060706,242.2,223.4,284,200,264.9,266.55,1.71283E+12
20060707,266.55,266.55,274.5,227,245,237.15,2.22668E+12
20060710,237.15,238,276.9,238,274.7,271.35,6.58352E+12
20060711,271.35,275.9,281.7,265.1,269,271.35,4.31827E+12
20060712,271.35,261.35,276.85,255.55,271,273.65,1.17675E+12
20060713,273.65,273,277.85,263.1,270.05,270.5,1.23855E+12
20060714,270.5,260,267.85,256,259,261.2,5.09203E+11
20060717,261.2,263.2,263.2,241.2,241.2,244.05,2.52465E+11
20060718,244.05,251,251,231,232.9,235.7,3.66454E+11
20060719,235.7,242,243.9,220,221,223.1,2.45205E+11
20060720,223.1,229.9,230,220.1,222.5,224.2,3.92849E+11
20060721,224.2,222,222,212.05,217,214.7,1.4567E+11
20060724,214.7,212,213,203.1,209.1,208.95,4.59545E+11
20060725,208.95,213.6,217.9,209,212.45,211.75,2.173E+11
20060726,211.75,210.7,223.75,208,215,215.15,1.78836E+11
20060727,215.15,220,229,215,219.95,219.95,3.63043E+11
20060728,219.95,219,224.75,215.3,223.95,221.45,3.42504E+11
20060731,221.45,223.9,225,219.05,219.05,222.4,3.34903E+11
20060801,222.4,220,222.85,217.05,220,219.75,87522615000
20060802,219.75,219.9,221.85,218,219,219.55,1.254E+11
20060803,219.55,205.2,222,176.4,215,215.1,2.26356E+11
20060804,215.1,219.9,224.95,215,218,217.55,2.24002E+11
20060807,217.55,218.5,222.6,215.4,218,219.2,3.08047E+11
20060808,219.2,219,223,216.1,222,221.5,1.61548E+11
20060809,221.5,219.9,222,218,221,220.7,2.08522E+11
20060810,220.7,219.9,224,217.5,217.5,218.9,1.78086E+11
20060811,218.9,219.9,229,218.6,226.9,226.1,4.80631E+11
20060814,226.1,220,235,220,234.9,232.15,1.75243E+11
20060816,232.15,237.5,251.9,237.35,241.05,242.65,3.33294E+11
20060817,242.65,242.05,243.5,230,235,235.5,1.05964E+11
20060818,235.5,237.5,239,232,232,236.3,1.33122E+11
20060821,236.3,220.1,236.5,220.1,234,233.2,1.03843E+11
20060822,233.2,234.9,239,230.5,230.5,233,95621125000
20060823,233,231,232.85,227,227.65,228.15,61357270000
20060824,228.15,229.8,232,221.1,232,229,41929000000
20060825,229,229.1,235,227.8,230,229.65,1.96063E+11
20060828,229.65,239.8,239.8,225.85,227,226.7,1.26599E+11
20060829,226.7,229.9,233.9,226.6,230,230.5,1.01456E+11
20060830,230.5,244,244,221.55,223.95,225.45,2.62883E+11
20060831,225.45,232.75,232.85,224,225,225.75,1.15716E+11
20060901,225.75,229.35,229.35,225,226.4,225.35,76059955000
20060904,225.35,239.9,243,228,235,233.35,9.55606E+11
20060905,233.35,240,242.5,233.35,233.65,235.65,3.91991E+11
20060906,235.65,239.5,239.8,232.3,233,232.9,1.78007E+11
20060907,232.9,237,247,231,237,239.45,2.5633E+12
